域名	解析IP	开放端口	WEB服务器	网站状态
id.baidu.com	112.34.111.75,112.34.111.74,183.232.231.225	-	-	-
ku.baidu.com	112.34.111.131,111.13.100.22	-	-	-
online.baidu.com	112.34.111.131,111.13.100.22	-	-	-
push.baidu.com	123.125.115.34	-	-	-
admin.baidu.com	10.26.109.19	-	-	-
houtai.baidu.com	119.75.222.30	-	-	-
manager.baidu.com	10.26.109.19	-	-	-
test.baidu.com	180.76.134.214	-	-	-
shop.baidu.com	112.34.111.131,111.13.100.22	-	-	-
shouji.baidu.com	117.185.17.21	-	-	-
360.baidu.com	10.57.8.123	-	-	-
web.baidu.com	10.48.30.87	-	-	-
ditu.baidu.com	111.13.100.230,111.13.105.172	-	-	-
huodong.baidu.com	123.125.112.229,123.125.112.228,111.202.114.30,111.202.114.29	-	-	-
author.baidu.com	117.185.17.20	-	-	-
activity.baidu.com	180.149.131.33	-	-	-
product.baidu.com	111.13.100.142	-	-	-
youxi.baidu.com	111.13.101.51	-	-	-
account.baidu.com	10.46.141.212	-	-	-
portal.baidu.com	172.22.1.82	-	-	-
flash.baidu.com	180.76.141.217	-	-	-
service.baidu.com	112.80.255.43,117.185.16.213,117.185.16.230,180.97.33.42,180.97.36.81,180.149.144.165,180.149.144.166,202.106.2.77,202.106.2.78,112.34.111.18,112.34.111.183,112.80.255.39	-	-	-
pan.baidu.com	112.34.111.108	-	-	-
yun.baidu.com	112.34.111.108	-	-	-
renwu.baidu.com	111.13.105.118,112.34.111.125,117.185.17.208	-	-	-
tieba.baidu.com	111.13.101.14	-	-	-
zip.baidu.com	180.149.131.33	-	-	-
music.baidu.com	180.76.141.217	-	-	-
webmaster.baidu.com	123.125.115.62	-	-	-
tw.baidu.com	111.13.101.208	-	-	-
hk.baidu.com	111.13.101.208	-	-	-
love.baidu.com	180.149.131.33	-	-	-
video.baidu.com	111.13.100.125,112.34.111.111	-	-	-
in.baidu.com	112.34.111.126	-	-	-
mp3.baidu.com	180.76.141.217	-	-	-
mp4.baidu.com	180.76.141.217	-	-	-
share.baidu.com	61.135.162.21	-	-	-
update.baidu.com	117.185.16.253	-	-	-
plus.baidu.com	10.212.6.107,10.212.6.106	-	-	-
ads.baidu.com	10.42.4.225	-	-	-
ad.baidu.com	117.185.16.252,112.34.111.37,183.232.231.209	-	-	-
pm.baidu.com	10.42.6.246,10.36.7.163	-	-	-
show.baidu.com	111.13.101.51	-	-	-
adm.baidu.com	112.34.111.113	-	-	-
play.baidu.com	180.76.141.217,180.76.183.17	-	-	-
git.baidu.com	10.42.4.104	-	-	-
svn.baidu.com	10.65.211.174	-	-	-
payment.baidu.com	111.13.101.56	-	-	-
pay.baidu.com	61.135.186.206	-	-	-
sec.baidu.com	202.106.2.63	-	-	-
run.baidu.com	180.149.131.33	-	-	-
security.baidu.com	10.58.121.74	-	-	-
tool.baidu.com	10.48.30.110	-	-	-
zhidao.baidu.com	112.34.111.123	-	-	-
anquan.baidu.com	123.125.115.151	-	-	-
image.baidu.com	111.13.100.173	-	-	-
tools.baidu.com	10.48.30.110	-	-	-
gl.baidu.com	112.34.111.124	-	-	-
dl.baidu.com	180.149.131.33	-	-	-
aq.baidu.com	111.13.101.218	-	-	-
pic.baidu.com	111.13.100.173	-	-	-
jiankong.baidu.com	115.239.217.177	-	-	-
wenku.baidu.com	112.34.111.124	-	-	-
client.baidu.com	10.242.112.16	-	-	-
bank.baidu.com	111.13.105.118,117.185.17.208,112.34.111.125	-	-	-
hi.baidu.com	111.202.114.169,111.202.114.168	-	-	-
wan.baidu.com	111.13.101.51	-	-	-
picture.baidu.com	111.13.100.173	-	-	-
wiki.baidu.com	10.42.7.70	-	-	-
monitor.baidu.com	10.91.161.200	-	-	-
kf.baidu.com	180.149.144.111	-	-	-
safe.baidu.com	117.185.17.52	-	-	-
file.baidu.com	180.149.131.33	-	-	-
doc.baidu.com	112.34.111.124	-	-	-
search.baidu.com	180.149.131.33	-	-	-
lib.baidu.com	10.40.20.46	-	-	-
money.baidu.com	111.13.105.118,112.34.111.125,117.185.17.208	-	-	-
mysql.baidu.com	10.105.97.153	-	-	-
asp.baidu.com	111.13.82.66,117.185.16.211	-	-	-
photo.baidu.com	112.34.111.247	-	-	-
debug.baidu.com	10.42.103.47	-	-	-
release.baidu.com	183.232.231.117	-	-	-
abs.baidu.com	111.206.37.14	-	-	-
so.baidu.com	10.42.7.54	-	-	-
oa.baidu.com	172.17.124.253	-	-	-
tpm.baidu.com	10.91.161.200	-	-	-
ac.baidu.com	183.232.231.209,112.34.111.37	-	-	-
access.baidu.com	10.94.49.39	-	-	-
accounts.baidu.com	10.11.252.74	-	-	-
ae.baidu.com	111.13.101.208,123.125.114.144,180.149.132.47,220.181.57.217	-	-	-
ag.baidu.com	202.108.23.199,202.108.23.198	-	-	-
agent.baidu.com	172.22.15.16,172.22.15.17	-	-	-
ap.baidu.com	117.185.16.78	-	-	-
antivirus.baidu.com	103.235.46.69	-	-	-
apollo.baidu.com	112.34.111.131,111.13.100.22	-	-	-
ar.baidu.com	112.34.111.78	-	-	-
athena.baidu.com	10.91.161.102	-	-	-
asm.baidu.com	10.99.87.18	-	-	-
at.baidu.com	10.42.122.102	-	-	-
auto.baidu.com	111.13.105.118,117.185.17.208	-	-	-
ba.baidu.com	10.81.7.51	-	-	-
backup.baidu.com	10.143.145.28	-	-	-
auth.baidu.com	112.34.111.209	-	-	-
bi.baidu.com	10.42.3.85	-	-	-
bdc.baidu.com	180.149.131.33	-	-	-
bd.baidu.com	172.18.100.200	-	-	-
biz.baidu.com	180.149.131.33	-	-	-
bnc.baidu.com	117.185.16.247	-	-	-
blue.baidu.com	223.111.138.35	-	-	-
build.baidu.com	10.23.250.58	-	-	-
brazil.baidu.com	180.149.132.47,111.13.101.208,220.181.57.217,123.125.114.144	-	-	-
cd.baidu.com	10.81.11.67	-	-	-
business.baidu.com	180.149.131.33	-	-	-
bugs.baidu.com	10.42.4.177	-	-	-
ca.baidu.com	111.202.115.77	-	-	-
cafe.baidu.com	117.185.17.41,112.34.111.105	-	-	-
cache.baidu.com	111.13.101.82	-	-	-
checkpoint.baidu.com	10.26.252.56	-	-	-
calendar.baidu.com	180.149.131.14	-	-	-
check.baidu.com	10.46.11.136	-	-	-
ci.baidu.com	112.34.111.88	-	-	-
cm.baidu.com	111.202.114.35	-	-	-
cf.baidu.com	220.181.57.72,111.206.37.138	-	-	-
ck.baidu.com	106.120.159.243	-	-	-
code.baidu.com	180.149.131.33	-	-	-
com.baidu.com	10.26.137.29	-	-	-
commerce.baidu.com	180.149.131.33	-	-	-
con.baidu.com	10.114.40.21	-	-	-
crs.baidu.com	111.13.105.112	-	-	-
ct.baidu.com	10.23.248.28	-	-	-
conf.baidu.com	123.125.112.208	-	-	-
cs.baidu.com	10.91.160.210	-	-	-
cu.baidu.com	183.232.232.30	-	-	-
flow.baidu.com	10.46.23.19	-	-	-
zabbix.baidu.com	10.42.3.13	-	-	-
portrait.baidu.com	10.58.177.42	-	-	-
meeting.baidu.com	10.42.7.144	-	-	-
dns.baidu.com	202.108.22.220	-	-	-
song.baidu.com	117.185.16.153	-	-	-
data.baidu.com	180.149.131.33	-	-	-
datastore.baidu.com	10.94.80.152	-	-	-
db.baidu.com	10.26.109.19	-	-	-
dc.baidu.com	10.92.149.22	-	-	-
des.baidu.com	10.81.211.170	-	-	-
design.baidu.com	111.13.100.69	-	-	-
dev.baidu.com	117.185.16.64,183.232.232.74,112.34.111.60	-	-	-
depot.baidu.com	10.212.15.152,10.212.15.213	-	-	-
deploy.baidu.com	111.13.100.96	-	-	-
developers.baidu.com	183.232.232.74,112.34.111.60,117.185.16.64	-	-	-
device.baidu.com	111.13.100.22,112.34.111.131	-	-	-
dj.baidu.com	180.76.141.217,180.76.183.17	-	-	-
dns1.baidu.com	220.181.38.10	-	-	-
dm.baidu.com	115.239.211.48	-	-	-
discovery.baidu.com	180.149.131.33	-	-	-
disk.baidu.com	111.13.100.240	-	-	-
do.baidu.com	182.61.58.78	-	-	-
dt.baidu.com	10.65.211.94	-	-	-
eagle.baidu.com	10.202.105.28	-	-	-
ecom.baidu.com	172.18.0.180	-	-	-
earth.baidu.com	111.13.105.118,117.185.17.208,112.34.111.125	-	-	-
ee.baidu.com	10.46.133.175	-	-	-
edu.baidu.com	182.61.52.236	-	-	-
education.baidu.com	111.13.100.18	-	-	-
engine.baidu.com	180.149.131.33	-	-	-
eg.baidu.com	220.181.57.217,123.125.114.144,111.13.101.208,180.149.132.47	-	-	-
exchange.baidu.com	10.26.109.19	-	-	-
engineering.baidu.com	10.100.46.52	-	-	-
et.baidu.com	10.206.217.30	-	-	-
enterprise.baidu.com	183.232.232.80,111.13.100.21,117.185.16.135	-	-	-
falcon.baidu.com	10.26.26.88,10.36.253.135	-	-	-
files.baidu.com	10.65.43.129	-	-	-
fm.baidu.com	180.76.141.217,180.76.183.17	-	-	-
fk.baidu.com	112.25.86.37	-	-	-
fs.baidu.com	10.42.8.186	-	-	-
fw.baidu.com	10.42.3.234	-	-	-
ga.baidu.com	10.42.3.55	-	-	-
gandalf.baidu.com	112.34.112.37,123.125.115.91,220.181.57.94	-	-	-
gate.baidu.com	111.13.100.92,111.13.100.91	-	-	-
gd.baidu.com	10.57.239.38	-	-	-
games.baidu.com	111.13.101.51	-	-	-
gh.baidu.com	111.13.100.108	-	-	-
gold.baidu.com	112.34.111.125,111.13.105.118,117.185.17.208	-	-	-
go.baidu.com	111.13.105.40	-	-	-
gp.baidu.com	111.13.105.27	-	-	-
gw1.baidu.com	172.16.1.2	-	-	-
global.baidu.com	103.235.46.83	-	-	-
hm.baidu.com	111.13.101.191	-	-	-
home.baidu.com	183.232.232.54	-	-	-
hermes.baidu.com	10.95.117.30	-	-	-
gy.baidu.com	10.194.61.22,10.194.61.37	-	-	-
hollywood.baidu.com	112.80.248.40,123.125.112.68	-	-	-
https.baidu.com	10.100.84.54	-	-	-
hotel.baidu.com	111.13.101.78	-	-	-
images.baidu.com	111.13.100.173	-	-	-
hub.baidu.com	10.57.7.145	-	-	-
im.baidu.com	111.202.114.169,111.202.114.168	-	-	-
ie.baidu.com	111.13.100.240	-	-	-
iis.baidu.com	180.149.131.33	-	-	-
info.baidu.com	111.13.101.218	-	-	-
inside.baidu.com	123.125.65.230	-	-	-
intern.baidu.com	10.48.40.64	-	-	-
io.baidu.com	10.46.104.43	-	-	-
internet.baidu.com	112.34.111.125,111.13.105.118,117.185.17.208	-	-	-
iq.baidu.com	10.81.12.102	-	-	-
is.baidu.com	180.149.131.33	-	-	-
it.baidu.com	10.46.11.83	-	-	-
ir.baidu.com	223.119.248.8,223.119.248.25	-	-	-
japan.baidu.com	180.149.131.33	-	-	-
ix.baidu.com	180.76.141.217	-	-	-
jp.baidu.com	119.63.198.132	-	-	-
kg.baidu.com	10.50.13.175	-	-	-
ke.baidu.com	112.34.111.124	-	-	-
king.baidu.com	180.76.183.17,180.76.141.217	-	-	-
km.baidu.com	10.42.7.54	-	-	-
kr.baidu.com	10.95.39.53	-	-	-
ks.baidu.com	118.26.21.72,111.13.108.103	-	-	-
korea.baidu.com	180.149.131.33	-	-	-
kw.baidu.com	220.181.57.217,111.13.101.208,123.125.114.144,180.149.132.47	-	-	-
launch.baidu.com	10.94.66.52	-	-	-
labs.baidu.com	10.48.37.38	-	-	-
lab.baidu.com	111.13.101.29	-	-	-
li.baidu.com	10.91.160.188	-	-	-
lb.baidu.com	10.202.6.208	-	-	-
lc.baidu.com	111.13.101.219	-	-	-
log02.baidu.com	10.23.65.13	-	-	-
ls.baidu.com	112.34.111.68,183.232.231.207	-	-	-
lu.baidu.com	111.13.105.40	-	-	-
maa.baidu.com	10.99.27.20	-	-	-
ma.baidu.com	123.125.114.208	-	-	-
ly.baidu.com	111.13.105.40	-	-	-
mars.baidu.com	10.91.160.191	-	-	-
mc.baidu.com	111.13.12.213	-	-	-
mco.baidu.com	180.149.131.33	-	-	-
media.baidu.com	112.34.111.131,111.13.100.22	-	-	-
marketing.baidu.com	111.13.100.193	-	-	-
maps.baidu.com	111.13.100.230,111.13.105.172	-	-	-
mem.baidu.com	106.39.162.104	-	-	-
md.baidu.com	180.149.131.33	-	-	-
member.baidu.com	106.39.162.104	-	-	-
mirror.baidu.com	10.11.250.228	-	-	-
mo.baidu.com	111.13.105.73,112.34.111.104	-	-	-
mk.baidu.com	10.42.174.14	-	-	-
mike.baidu.com	106.39.162.128	-	-	-
mis.baidu.com	10.42.79.56,10.46.150.64	-	-	-
mr.baidu.com	111.13.105.73,112.34.111.104	-	-	-
ml.baidu.com	10.26.140.39	-	-	-
moon.baidu.com	10.57.44.52	-	-	-
mp.baidu.com	111.13.101.51	-	-	-
mom.baidu.com	10.36.3.27,10.26.3.49	-	-	-
mq.baidu.com	10.92.16.61	-	-	-
mt.baidu.com	10.208.6.11	-	-	-
nc.baidu.com	180.97.104.48,112.34.111.20,123.125.115.81	-	-	-
mx.baidu.com	61.135.163.61	-	-	-
mw.baidu.com	111.13.101.56	-	-	-
net.baidu.com	10.242.123.17	-	-	-
nb.baidu.com	111.13.100.150	-	-	-
ng.baidu.com	10.42.6.106,10.57.8.161	-	-	-
neo.baidu.com	10.26.26.220	-	-	-
nl.baidu.com	10.42.7.232	-	-	-
nm.baidu.com	117.185.16.67,117.185.16.167	-	-	-
ns1.baidu.com	202.108.22.220	-	-	-
ns2.baidu.com	61.135.165.235	-	-	-
node.baidu.com	10.57.8.26,10.42.4.219	-	-	-
np.baidu.com	10.23.239.99,10.23.245.224,10.23.239.95	-	-	-
ns3.baidu.com	220.181.37.10	-	-	-
nt.baidu.com	10.99.83.43	-	-	-
ns4.baidu.com	220.181.38.10	-	-	-
ns5.baidu.com	220.181.166.1	-	-	-
ntp.baidu.com	10.48.49.44	-	-	-
odin.baidu.com	10.42.6.124	-	-	-
oc.baidu.com	10.207.6.76	-	-	-
ocean.baidu.com	10.26.3.48	-	-	-
office.baidu.com	10.99.72.22	-	-	-
openview.baidu.com	10.23.240.246	-	-	-
oscar.baidu.com	112.80.248.40,123.125.112.68	-	-	-
ops.baidu.com	10.42.4.86,10.91.160.44,10.50.13.87,10.46.7.36,10.26.3.240,10.36.4.130	-	-	-
orion.baidu.com	10.26.5.201	-	-	-
or.baidu.com	112.34.111.131,111.13.100.22	-	-	-
owa.baidu.com	61.135.165.119	-	-	-
orange.baidu.com	112.25.86.48	-	-	-
pa.baidu.com	111.13.100.139	-	-	-
partner.baidu.com	111.13.100.150	-	-	-
pcs.baidu.com	117.185.16.59	-	-	-
pe.baidu.com	10.23.65.19	-	-	-
pda.baidu.com	111.13.82.70,111.13.82.71	-	-	-
pg.baidu.com	10.48.48.31	-	-	-
pgp.baidu.com	10.94.52.39	-	-	-
ph.baidu.com	10.65.3.117	-	-	-
pi.baidu.com	111.13.100.13	-	-	-
phoenix.baidu.com	10.83.128.22	-	-	-
phi.baidu.com	10.202.250.30	-	-	-
photos.baidu.com	111.13.100.173	-	-	-
pictures.baidu.com	112.34.111.247	-	-	-
policy.baidu.com	183.232.232.53,123.125.115.231,180.101.212.24	-	-	-
pluto.baidu.com	10.99.218.166	-	-	-
portfolio.baidu.com	111.13.105.27	-	-	-
po.baidu.com	111.13.105.73,112.34.111.104	-	-	-
pop.baidu.com	10.99.145.36	-	-	-
private.baidu.com	10.58.178.41	-	-	-
project.baidu.com	10.40.61.49	-	-	-
purple.baidu.com	111.13.101.29	-	-	-
ptr.baidu.com	10.48.50.39	-	-	-
proxy.baidu.com	220.181.37.10	-	-	-
pt.baidu.com	180.149.132.47,220.181.57.217,123.125.114.144,111.13.101.208	-	-	-
qa.baidu.com	220.181.7.181	-	-	-
pw.baidu.com	180.149.131.33	-	-	-
ra.baidu.com	10.32.10.74	-	-	-
rcs.baidu.com	111.13.101.202	-	-	-
registry.baidu.com	10.57.8.230	-	-	-
research.baidu.com	107.180.84.128	-	-	-
relay.baidu.com	10.36.253.229	-	-	-
rmi.baidu.com	183.232.231.134,111.13.101.141	-	-	-
router.baidu.com	10.65.211.124,10.42.7.86	-	-	-
sa.baidu.com	10.94.35.13	-	-	-
sales.baidu.com	112.80.248.40,123.125.112.68	-	-	-
sac.baidu.com	111.13.100.150,123.125.115.174,123.125.115.209,220.181.57.166	-	-	-
sb.baidu.com	10.46.248.42	-	-	-
sc.baidu.com	10.207.6.39	-	-	-
scanner.baidu.com	220.181.57.191	-	-	-
se.baidu.com	10.99.27.31	-	-	-
sd.baidu.com	103.235.46.69	-	-	-
serv.baidu.com	10.65.25.83	-	-	-
site.baidu.com	112.34.111.167	-	-	-
sg.baidu.com	123.125.114.104	-	-	-
sj.baidu.com	111.13.101.218	-	-	-
sim.baidu.com	10.83.128.155	-	-	-
sk.baidu.com	10.26.95.45	-	-	-
sms.baidu.com	10.42.4.184	-	-	-
sl.baidu.com	112.34.111.246	-	-	-
sniffer.baidu.com	10.26.7.220,10.65.211.87	-	-	-
sn.baidu.com	111.13.100.69	-	-	-
sm.baidu.com	111.13.101.56	-	-	-
source.baidu.com	106.120.159.176	-	-	-
spam.baidu.com	111.202.115.85	-	-	-
speed.baidu.com	10.65.18.22	-	-	-
ssl.baidu.com	10.58.121.74	-	-	-
sr.baidu.com	180.149.131.33	-	-	-
sta.baidu.com	10.46.136.15	-	-	-
stock.baidu.com	112.34.111.125,111.13.105.118,117.185.17.208	-	-	-
store.baidu.com	111.13.100.22,112.34.111.131	-	-	-
sun.baidu.com	10.46.11.23	-	-	-
supplier.baidu.com	10.42.3.249	-	-	-
sv.baidu.com	183.232.231.192,111.13.105.42,117.185.17.188	-	-	-
support.baidu.com	117.185.16.252,112.34.111.37,183.232.231.209	-	-	-
sy.baidu.com	111.13.100.18	-	-	-
8.baidu.com	111.13.100.237,111.13.100.238,117.185.16.139	-	-	-
110.baidu.com	10.57.8.26,10.42.4.219	-	-	-
12.baidu.com	111.13.100.150	-	-	-
119.baidu.com	10.46.11.104	-	-	-
3b.baidu.com	10.26.10.39	-	-	-
3g.baidu.com	111.13.82.71,111.13.82.70	-	-	-
4s.baidu.com	111.206.37.119	-	-	-
61.baidu.com	180.149.131.33	-	-	-
5v.baidu.com	111.206.223.50	-	-	-
60.baidu.com	180.149.131.33	-	-	-
9z.baidu.com	111.13.101.29	-	-	-
e2.baidu.com	180.76.143.62	-	-	-
g5.baidu.com	111.13.12.213	-	-	-
h5.baidu.com	119.75.222.180	-	-	-
i3.baidu.com	112.25.86.48	-	-	-
g1.baidu.com	111.13.12.213	-	-	-
i9.baidu.com	112.45.121.48	-	-	-
g8.baidu.com	111.13.12.213	-	-	-
f3.baidu.com	112.34.111.131,111.13.100.22	-	-	-
i7.baidu.com	112.25.86.48	-	-	-
i8.baidu.com	112.25.86.48	-	-	-
h2.baidu.com	180.149.133.110	-	-	-
g6.baidu.com	111.13.12.213	-	-	-
g9.baidu.com	111.13.12.213	-	-	-
g4.baidu.com	111.13.12.213	-	-	-
g2.baidu.com	111.13.12.213	-	-	-
i1.baidu.com	112.25.86.48	-	-	-
g3.baidu.com	111.13.12.213	-	-	-
g7.baidu.com	111.13.12.213	-	-	-
i4.baidu.com	223.111.138.49	-	-	-
i2.baidu.com	112.25.86.48	-	-	-
m5.baidu.com	111.13.82.70,111.13.82.71	-	-	-
i5.baidu.com	223.111.138.49	-	-	-
i6.baidu.com	223.111.138.49	-	-	-
m7.baidu.com	111.13.82.70,111.13.82.71	-	-	-
m6.baidu.com	111.13.82.71,111.13.82.70	-	-	-
l3.baidu.com	183.232.231.157	-	-	-
m4.baidu.com	111.13.82.71,111.13.82.70	-	-	-
m1.baidu.com	111.13.82.70,111.13.82.71	-	-	-
m8.baidu.com	111.13.82.71,111.13.82.70	-	-	-
m2.baidu.com	183.232.231.31,183.232.231.30	-	-	-
n6.baidu.com	10.42.7.167	-	-	-
m9.baidu.com	111.13.82.70,111.13.82.71	-	-	-
q4.baidu.com	112.34.111.212,112.34.111.213	-	-	-
q3.baidu.com	112.34.111.212,112.34.111.213	-	-	-
r3.baidu.com	10.11.0.13	-	-	-
q6.baidu.com	112.34.111.213,112.34.111.212	-	-	-
t2.baidu.com	112.25.86.48	-	-	-
t3.baidu.com	112.25.86.48	-	-	-
t1.baidu.com	112.25.86.48	-	-	-
r6.baidu.com	10.11.0.16	-	-	-
t5.baidu.com	112.34.111.171	-	-	-
r2.baidu.com	10.11.0.12	-	-	-
